"Time (s) Run #1","X Magnetic Field Strength (G) Run #1","Y Magnetic Field Strength (G) Run #1","Z Magnetic Field Strength (G) Run #1","|Resultant| Magnetic Field Strength (G) Run #1"
45.400,-15.7,-21.9,26.0,37.5
45.500,-2.66,-2.94,1.66,4.30
45.600,-0.540,-0.501,0.0720,0.740
45.700,0.363,-0.245,0.563,0.713
45.800,-1.02,0.366,1.12,1.56
45.900,-1.12,0.329,0.0750,1.17
46.000,-0.744,0.144,0.266,0.803
46.100,-0.681,0.141,0.348,0.778
46.200,-0.672,0.138,0.336,0.764
46.300,-0.702,0.111,0.246,0.752
46.400,-0.759,0.0465,-0.00900,0.760
46.500,-0.968,-0.0840,-0.876,1.31
46.600,-1.88,-0.0690,-3.63,4.09
46.700,-2.04,0.503,-5.81,6.17
46.800,-0.731,-0.443,-6.84,6.89
46.900,-0.273,-2.10,-9.46,9.69
47.000,-0.848,-0.632,-16.4,16.4
47.100,-0.0945,3.86,-21.1,21.5
47.200,-0.234,4.34,-37.6,37.8
47.300,-0.231,-2.31,-48.7,48.8
47.400,0.333,-1.23,-48.7,48.7
47.500,-0.168,-0.492,-48.7,48.7
47.600,-0.168,-0.492,-48.7,48.7
47.700,-0.168,-0.492,-48.7,48.7
47.800,-0.608,-0.936,-48.7,48.7
47.900,-1.31,-1.64,-48.7,48.8
48.000,-0.168,-0.492,-48.7,48.7
48.100,-1.45,0.804,-48.7,48.7
48.200,-0.168,-0.492,-48.7,48.7
48.300,-0.168,-0.492,-48.7,48.7
48.400,-0.168,-0.492,-48.7,48.7
48.500,-1.42,-1.76,-48.7,48.8
48.600,-4.26,-4.63,-48.7,49.1
48.700,-1.35,-1.68,-48.7,48.8
48.800,-2.49,-5.63,-42.8,43.3
48.900,-1.59,-3.37,-3.72,5.27
49.000,-0.570,-0.521,-0.152,0.787
49.100,-0.353,-0.335,0.417,0.640
49.200,-0.185,-0.381,0.567,0.708
49.300,-0.134,-0.369,0.591,0.709
49.400,-0.236,-0.216,0.429,0.535
49.500,-0.344,-0.0270,0.0825,0.354
49.600,-0.411,0.0255,-0.113,0.427
49.700,-0.413,0.0195,-0.0915,0.423
49.800,-0.257,-0.245,0.831,0.903
49.900,3.45,-4.60,13.2,14.4
50.000,12.7,-17.8,36.1,42.2
50.100,22.0,-34.1,22.5,46.4
50.200,24.6,-30.9,25.7,47.1
50.300,3.63,-4.33,47.6,47.9
50.400,-0.168,-0.492,49.6,49.6
50.500,-0.168,-0.492,49.6,49.6
50.600,-3.10,2.47,49.3,49.5
50.700,-0.408,-0.249,49.6,49.6
50.800,-0.168,-0.492,49.6,49.6
50.900,-0.168,-0.492,49.6,49.6
51.000,-0.168,-0.492,49.6,49.6
51.100,-0.168,-0.492,49.6,49.6
51.200,-0.168,-0.492,49.6,49.6
51.300,-0.168,-0.492,49.6,49.6
51.400,-0.168,-0.492,49.6,49.6
51.500,-0.168,-0.492,49.6,49.6
51.600,-0.168,-0.492,49.6,49.6
51.700,-0.168,-0.492,49.6,49.6
51.800,-0.168,-0.492,49.6,49.6
51.900,-0.168,-0.492,49.6,49.6
52.000,-0.168,-0.492,49.6,49.6
52.100,3.86,3.58,47.0,47.2
52.200,29.9,25.6,25.7,47.0
52.300,22.5,13.5,6.28,27.0
52.400,6.54,2.50,0.435,7.01
52.500,4.71,-0.144,0.471,4.73
52.600,2.81,-0.342,1.04,3.01
52.700,1.80,-0.213,0.653,1.93
52.800,1.63,-0.330,0.573,1.76
52.900,1.53,-0.494,0.390,1.65
53.000,1.28,-0.446,0.204,1.37
53.100,1.18,-0.435,0.150,1.27
53.200,1.33,-0.417,0.263,1.42
53.300,1.57,-0.375,0.371,1.65
53.400,1.93,-0.377,0.371,2.00
53.500,2.23,0.302,0.0345,2.25
53.600,0.938,1.11,-0.0750,1.46
53.700,0.279,1.26,-0.0885,1.30
53.800,0.0360,2.55,-0.758,2.66
53.900,-0.497,2.97,-0.960,3.16
54.000,0.788,2.54,-1.28,2.95
54.100,3.12,1.11,-2.90,4.40
54.200,3.62,1.19,-3.29,5.03
54.300,5.17,2.24,-4.57,7.25
54.400,7.83,1.14,-6.36,10.2
54.500,16.4,1.13,-9.24,18.9
54.600,35.8,3.31,-10.5,37.5
54.700,48.9,-0.278,-1.12,48.9
54.800,49.0,-0.492,0.437,49.0
54.900,48.3,4.55,5.33,48.8
55.000,44.2,11.1,11.6,47.1
55.100,41.9,13.4,13.9,46.2
55.200,46.4,6.73,7.44,47.4
55.300,49.0,-0.492,0.437,49.0
55.400,49.0,-0.492,0.437,49.0
55.500,49.0,-0.492,0.437,49.0
55.600,49.0,-0.492,0.437,49.0
55.700,49.0,-0.492,0.437,49.0
55.800,49.0,-0.492,0.437,49.0
55.900,49.0,-0.492,0.437,49.0
56.000,49.0,-0.492,0.437,49.0
56.100,49.0,-0.492,0.437,49.0
56.200,49.0,-0.492,0.437,49.0
56.300,49.0,-0.492,0.437,49.0
56.400,49.0,-0.492,0.437,49.0
56.500,49.0,-0.492,0.437,49.0
